age,workclass,education,capital-gain-category,hours-per-week,occupation,income
25.0,,Some-college,cat1,50.0,Farming-fishing,<=50K
53.0,State-gov,,,50.0,Farming-fishing,<=50K
28.0,,Assoc-acdm,cat1,40.0,Prof-specialty,<=50K
30.0,,Masters,cat1,40.0,Prof-specialty,<=50K
38.0,Self-emp-not-inc,11th,cat1,40.0,Craft-repair,<=50K
,Local-gov,Some-college,,48.0,Protective-serv,<=50K
30.0,Private,Masters,cat1,38.0,Prof-specialty,<=50K
41.0,Private,HS-grad,cat1,40.0,Machine-op-inspct,<=50K
29.0,?,Some-college,cat1,36.0,?,<=50K
31.0,Private,Some-college,cat1,80.0,Craft-repair,<=50K
36.0,Private,HS-grad,cat2,55.0,,<=50K
59.0,Self-emp-not-inc,HS-grad,cat1,60.0,Exec-managerial,<=50K
33.0,Self-emp-not-inc,HS-grad,cat1,35.0,Craft-repair,<=50K
29.0,Private,HS-grad,cat1,55.0,Sales,>50K
49.0,State-gov,Some-college,cat1,40.0,Machine-op-inspct,>50K
50.0,Federal-gov,10th,cat1,56.0,Craft-repair,<=50K
33.0,Private,Bachelors,,45.0,Exec-managerial,>50K
28.0,Private,7th-8th,cat1,40.0,,<=50K
81.0,?,HS-grad,cat1,35.0,?,<=50K
24.0,Private,Some-college,,16.0,Tech-support,<=50K
,Self-emp-not-inc,Some-college,cat1,50.0,Craft-repair,<=50K
47.0,Federal-gov,HS-grad,cat1,40.0,Transport-moving,>50K
44.0,?,HS-grad,cat1,40.0,?,<=50K
24.0,Private,Some-college,cat1,40.0,Exec-managerial,<=50K
37.0,Local-gov,Some-college,,36.0,Tech-support,>50K
51.0,Private,Bachelors,,40.0,Sales,>50K
52.0,Private,HS-grad,,50.0,Transport-moving,<=50K
22.0,Private,Some-college,cat1,40.0,Adm-clerical,<=50K
28.0,Private,Assoc-acdm,cat1,40.0,Other-service,<=50K
47.0,Self-emp-not-inc,Some-college,cat1,40.0,Craft-repair,<=50K
43.0,Private,HS-grad,,40.0,Craft-repair,<=50K
25.0,Private,HS-grad,,45.0,Exec-managerial,<=50K
43.0,Private,Some-college,cat1,60.0,Transport-moving,>50K
25.0,Private,Bachelors,cat1,20.0,Exec-managerial,<=50K
59.0,Private,Masters,,60.0,Prof-specialty,<=50K
29.0,Private,Assoc-acdm,cat1,35.0,Prof-specialty,<=50K
30.0,Private,9th,cat1,40.0,Machine-op-inspct,<=50K
24.0,Private,Some-college,cat1,40.0,Machine-op-inspct,<=50K
38.0,Private,Bachelors,,40.0,Other-service,<=50K
37.0,Self-emp-not-inc,HS-grad,,60.0,Exec-managerial,>50K
26.0,Private,Preschool,cat1,40.0,Machine-op-inspct,<=50K
30.0,Private,HS-grad,cat1,40.0,Other-service,<=50K
73.0,Local-gov,Masters,cat1,10.0,Prof-specialty,>50K
30.0,Private,HS-grad,cat1,40.0,Machine-op-inspct,<=50K
33.0,Private,HS-grad,cat1,40.0,,<=50K
46.0,Private,Some-college,cat1,58.0,Transport-moving,<=50K
40.0,?,HS-grad,cat2,20.0,?,<=50K
18.0,Private,11th,cat1,40.0,Other-service,<=50K
35.0,Private,Bachelors,cat2,8.0,Prof-specialty,>50K
22.0,Private,HS-grad,cat1,,Adm-clerical,<=50K
50.0,Self-emp-inc,HS-grad,cat1,60.0,Sales,<=50K
62.0,?,7th-8th,cat1,40.0,?,<=50K
39.0,Self-emp-inc,Bachelors,,40.0,Exec-managerial,>50K
22.0,Private,Some-college,cat1,40.0,Sales,<=50K
33.0,Private,HS-grad,cat1,40.0,Adm-clerical,<=50K
31.0,Private,HS-grad,cat1,40.0,Handlers-cleaners,<=50K
29.0,Private,Bachelors,cat1,40.0,Adm-clerical,<=50K
38.0,Self-emp-not-inc,Some-college,,45.0,Machine-op-inspct,>50K
24.0,Private,Bachelors,cat1,35.0,Sales,<=50K
29.0,Local-gov,HS-grad,,40.0,Protective-serv,<=50K
49.0,Federal-gov,Masters,cat1,40.0,Adm-clerical,>50K
33.0,Private,7th-8th,cat1,40.0,Machine-op-inspct,<=50K
28.0,Private,HS-grad,cat1,48.0,Machine-op-inspct,<=50K
22.0,Private,Bachelors,,60.0,Adm-clerical,<=50K
37.0,Private,HS-grad,cat1,40.0,Machine-op-inspct,<=50K
30.0,Private,HS-grad,cat1,50.0,Craft-repair,<=50K
49.0,Private,7th-8th,cat1,40.0,,<=50K
29.0,Private,HS-grad,,40.0,Exec-managerial,<=50K
25.0,,HS-grad,cat1,40.0,Exec-managerial,<=50K
36.0,Private,HS-grad,cat1,40.0,Adm-clerical,<=50K
36.0,State-gov,Doctorate,cat1,45.0,Prof-specialty,<=50K
21.0,Private,HS-grad,cat1,22.0,Other-service,<=50K
18.0,,Some-college,cat1,30.0,Other-service,<=50K
30.0,Local-gov,Assoc-voc,cat1,40.0,Protective-serv,<=50K
44.0,Private,Some-college,cat1,40.0,Adm-clerical,<=50K
,Private,Some-college,cat1,50.0,Transport-moving,<=50K
43.0,Private,HS-grad,cat1,44.0,Exec-managerial,<=50K
45.0,Private,Bachelors,cat1,50.0,Exec-managerial,>50K
29.0,Private,Some-college,cat1,26.0,Sales,<=50K
40.0,Private,Some-college,,40.0,Adm-clerical,<=50K
43.0,Private,Some-college,cat1,48.0,Other-service,<=50K
20.0,Private,Some-college,,20.0,Other-service,<=50K
32.0,State-gov,Bachelors,cat1,20.0,Tech-support,<=50K
19.0,Private,Some-college,,16.0,Other-service,<=50K
21.0,Private,HS-grad,cat1,40.0,Machine-op-inspct,<=50K
23.0,Private,Assoc-voc,cat1,40.0,Handlers-cleaners,<=50K
24.0,Private,11th,,40.0,Other-service,<=50K
52.0,Private,Assoc-voc,cat1,32.0,Other-service,<=50K
51.0,?,Some-college,cat1,40.0,?,<=50K
19.0,Private,Some-college,,35.0,Other-service,<=50K
54.0,Private,Some-college,cat1,45.0,Sales,>50K
,Private,HS-grad,cat1,48.0,Machine-op-inspct,<=50K
29.0,Private,Some-college,cat1,40.0,Machine-op-inspct,<=50K
17.0,Private,10th,cat1,10.0,Tech-support,<=50K
47.0,Private,HS-grad,cat1,37.0,Other-service,<=50K
46.0,Private,Bachelors,,,Prof-specialty,<=50K
30.0,Private,Some-college,cat1,44.0,Handlers-cleaners,<=50K
58.0,Private,Some-college,cat1,30.0,Other-service,<=50K
48.0,Private,,cat1,40.0,Prof-specialty,<=50K
23.0,Private,Some-college,cat1,40.0,Protective-serv,<=50K
23.0,Private,Assoc-voc,cat1,36.0,,<=50K
45.0,Private,HS-grad,cat1,40.0,Craft-repair,<=50K
20.0,Private,Some-college,cat1,20.0,Sales,<=50K
26.0,Private,7th-8th,cat1,48.0,Machine-op-inspct,<=50K
50.0,Local-gov,,cat1,40.0,Prof-specialty,>50K
49.0,Private,,cat1,48.0,Sales,>50K
,Private,Some-college,cat1,,Other-service,<=50K
47.0,Private,Prof-school,cat1,40.0,Adm-clerical,<=50K
31.0,Private,12th,cat2,50.0,Sales,<=50K
19.0,?,Some-college,cat1,40.0,?,<=50K
23.0,Private,10th,cat1,40.0,Other-service,<=50K
35.0,Private,HS-grad,cat1,40.0,Craft-repair,<=50K
46.0,Private,Some-college,cat1,50.0,Craft-repair,>50K
28.0,Self-emp-not-inc,11th,cat1,40.0,Craft-repair,<=50K
58.0,Private,Some-college,cat2,45.0,Exec-managerial,>50K
21.0,Private,HS-grad,cat1,40.0,Adm-clerical,<=50K
50.0,Self-emp-not-inc,10th,cat1,,Sales,<=50K
30.0,?,9th,cat1,30.0,,<=50K
31.0,Private,Bachelors,cat1,40.0,Prof-specialty,<=50K
31.0,Self-emp-not-inc,Bachelors,cat1,20.0,Adm-clerical,<=50K
35.0,Self-emp-not-inc,HS-grad,cat2,40.0,Craft-repair,>50K
33.0,Private,Doctorate,cat1,60.0,Prof-specialty,>50K
34.0,Private,Masters,,55.0,Prof-specialty,>50K
67.0,?,Prof-school,cat2,10.0,?,>50K
37.0,Private,HS-grad,cat1,45.0,Handlers-cleaners,>50K
48.0,Private,Masters,cat1,40.0,Prof-specialty,>50K
34.0,Federal-gov,Bachelors,cat2,40.0,Exec-managerial,<=50K
24.0,Private,Some-college,cat1,40.0,Exec-managerial,<=50K
55.0,Private,HS-grad,cat1,40.0,Priv-house-serv,<=50K
50.0,Private,HS-grad,cat1,,Tech-support,>50K
40.0,Private,Bachelors,cat1,60.0,Sales,>50K
33.0,Private,Bachelors,cat1,30.0,Handlers-cleaners,<=50K
51.0,Federal-gov,Some-college,,40.0,Craft-repair,<=50K
30.0,Private,Some-college,cat1,40.0,Machine-op-inspct,<=50K
41.0,Private,HS-grad,cat1,40.0,Machine-op-inspct,<=50K
47.0,Local-gov,Assoc-voc,cat1,,Exec-managerial,>50K
27.0,Private,7th-8th,cat1,50.0,Farming-fishing,<=50K
37.0,Private,Bachelors,cat2,32.0,Prof-specialty,>50K
40.0,Private,Assoc-voc,cat1,40.0,Craft-repair,<=50K
36.0,Private,HS-grad,,,,<=50K
37.0,Private,HS-grad,cat1,40.0,Machine-op-inspct,<=50K
38.0,Private,Prof-school,cat1,35.0,Prof-specialty,>50K
40.0,Self-emp-not-inc,Some-college,cat1,50.0,Craft-repair,<=50K
35.0,Private,Bachelors,cat1,40.0,,<=50K
47.0,Self-emp-not-inc,HS-grad,cat1,20.0,Machine-op-inspct,>50K
20.0,?,Some-college,cat1,60.0,?,<=50K
33.0,Private,Masters,cat1,45.0,Prof-specialty,>50K
45.0,Private,Some-college,,40.0,Adm-clerical,<=50K
66.0,?,Some-college,cat1,40.0,?,>50K
35.0,Self-emp-not-inc,HS-grad,cat1,38.0,,<=50K
32.0,Private,11th,cat1,45.0,Adm-clerical,<=50K
23.0,Private,Some-college,,50.0,Other-service,<=50K
19.0,Private,HS-grad,cat1,15.0,Other-service,<=50K
44.0,?,Some-college,,40.0,?,<=50K
20.0,Private,HS-grad,,35.0,Handlers-cleaners,<=50K
44.0,Self-emp-inc,Bachelors,cat1,30.0,Sales,<=50K
41.0,State-gov,HS-grad,cat2,40.0,Adm-clerical,<=50K
19.0,Private,Some-college,cat1,40.0,Adm-clerical,<=50K
48.0,Private,HS-grad,cat1,35.0,Other-service,<=50K
45.0,Private,Some-college,cat1,,Sales,>50K
40.0,Private,7th-8th,cat1,42.0,Other-service,<=50K
34.0,Private,HS-grad,cat1,55.0,Craft-repair,>50K
20.0,Private,Some-college,cat1,40.0,Sales,<=50K
33.0,Private,Some-college,cat1,40.0,Adm-clerical,<=50K
30.0,Private,HS-grad,cat1,20.0,Adm-clerical,<=50K
23.0,Private,Some-college,cat1,32.0,Handlers-cleaners,<=50K
34.0,Private,10th,cat1,38.0,Other-service,<=50K
48.0,State-gov,Some-college,cat1,40.0,Craft-repair,>50K
32.0,?,11th,cat1,49.0,?,<=50K
42.0,Private,Some-college,cat1,40.0,Craft-repair,>50K
22.0,Private,HS-grad,cat1,40.0,Adm-clerical,<=50K
60.0,Self-emp-not-inc,HS-grad,,42.0,Craft-repair,>50K
42.0,Private,Bachelors,cat1,55.0,Exec-managerial,>50K
,Private,Bachelors,cat1,55.0,Exec-managerial,<=50K
47.0,Private,HS-grad,cat1,32.0,Other-service,<=50K
29.0,Private,Masters,cat1,40.0,Exec-managerial,>50K
34.0,Private,Bachelors,cat1,38.0,Sales,<=50K
34.0,,Bachelors,cat1,40.0,Prof-specialty,>50K
39.0,Federal-gov,HS-grad,cat1,40.0,,<=50K
29.0,Private,Some-college,,24.0,Prof-specialty,<=50K
42.0,Self-emp-inc,Some-college,cat1,60.0,,<=50K
48.0,Private,11th,,35.0,Other-service,<=50K
53.0,Private,Bachelors,cat1,40.0,Exec-managerial,>50K
51.0,Private,Some-college,,45.0,Adm-clerical,<=50K
44.0,Self-emp-not-inc,Bachelors,,90.0,Farming-fishing,<=50K
46.0,Self-emp-inc,Assoc-voc,,60.0,Exec-managerial,>50K
51.0,Private,Doctorate,cat2,60.0,Craft-repair,>50K
,Private,Some-college,cat1,40.0,Craft-repair,<=50K
22.0,?,HS-grad,cat1,30.0,?,<=50K
24.0,Private,Some-college,cat1,,Other-service,<=50K
33.0,Private,Assoc-voc,cat1,26.0,Prof-specialty,<=50K
47.0,Self-emp-not-inc,HS-grad,cat1,90.0,Craft-repair,<=50K
64.0,Self-emp-not-inc,Masters,cat1,50.0,Prof-specialty,<=50K
62.0,Private,Bachelors,cat1,50.0,Exec-managerial,>50K
52.0,,HS-grad,cat1,40.0,Exec-managerial,>50K
39.0,Private,HS-grad,cat1,40.0,Sales,<=50K
42.0,Private,HS-grad,cat1,48.0,Prof-specialty,<=50K
38.0,,Bachelors,cat2,42.0,Sales,>50K
55.0,Private,,cat1,50.0,Transport-moving,<=50K
29.0,?,HS-grad,cat1,27.0,?,<=50K
42.0,Private,Assoc-acdm,,24.0,Prof-specialty,<=50K
30.0,Private,Assoc-acdm,cat1,50.0,Exec-managerial,>50K
,Private,9th,cat1,40.0,Craft-repair,<=50K
36.0,?,HS-grad,cat2,30.0,?,<=50K
50.0,Federal-gov,11th,cat2,40.0,Sales,<=50K
27.0,Private,HS-grad,cat1,40.0,Machine-op-inspct,<=50K
47.0,Private,HS-grad,cat1,60.0,Exec-managerial,<=50K
33.0,Private,9th,cat1,35.0,Machine-op-inspct,<=50K
48.0,Self-emp-not-inc,Some-college,cat1,40.0,Adm-clerical,<=50K
23.0,Private,7th-8th,cat1,35.0,Other-service,<=50K
31.0,Federal-gov,Bachelors,,40.0,Exec-managerial,>50K
,Private,Some-college,cat1,40.0,Machine-op-inspct,<=50K
61.0,Self-emp-not-inc,HS-grad,cat1,63.0,Sales,<=50K
50.0,Private,Bachelors,cat1,40.0,Sales,<=50K
49.0,Private,Assoc-voc,,40.0,Prof-specialty,>50K
57.0,?,5th-6th,,84.0,?,>50K
19.0,Private,HS-grad,cat1,24.0,Other-service,<=50K
18.0,Private,11th,,15.0,Handlers-cleaners,<=50K
44.0,Self-emp-not-inc,Assoc-acdm,,99.0,Other-service,<=50K
54.0,Private,Assoc-voc,cat1,50.0,Sales,<=50K
35.0,State-gov,HS-grad,cat1,40.0,Protective-serv,>50K
27.0,State-gov,Masters,cat1,20.0,Prof-specialty,<=50K
50.0,Self-emp-inc,HS-grad,cat1,50.0,Farming-fishing,<=50K
43.0,State-gov,HS-grad,,40.0,Craft-repair,<=50K
28.0,Private,Some-college,cat1,40.0,Adm-clerical,<=50K
47.0,Private,HS-grad,cat1,40.0,Exec-managerial,<=50K
21.0,Private,Preschool,cat1,50.0,Farming-fishing,<=50K
30.0,,Prof-school,cat1,45.0,Prof-specialty,<=50K
19.0,,HS-grad,cat1,45.0,Craft-repair,<=50K
40.0,Private,Some-college,cat1,40.0,Other-service,<=50K
55.0,Private,Masters,cat1,50.0,Sales,>50K
67.0,?,HS-grad,cat1,20.0,?,<=50K
31.0,Private,Assoc-voc,cat1,43.0,Machine-op-inspct,<=50K
30.0,Private,Assoc-voc,cat1,40.0,Exec-managerial,<=50K
54.0,?,Preschool,cat1,40.0,?,<=50K
51.0,Federal-gov,Bachelors,cat1,43.0,Prof-specialty,<=50K
34.0,Private,HS-grad,,40.0,Transport-moving,<=50K
59.0,Private,,cat1,45.0,Exec-managerial,>50K
50.0,Private,HS-grad,,38.0,Exec-managerial,<=50K
29.0,Private,,cat1,40.0,Machine-op-inspct,<=50K
17.0,State-gov,10th,cat1,40.0,Farming-fishing,<=50K
24.0,Private,HS-grad,cat1,30.0,Other-service,<=50K
52.0,?,Preschool,cat1,40.0,?,<=50K
39.0,Private,Masters,,18.0,Prof-specialty,>50K
18.0,?,12th,cat1,25.0,?,<=50K
32.0,Private,,cat1,40.0,Handlers-cleaners,<=50K
25.0,?,,,50.0,?,<=50K
34.0,,HS-grad,cat1,45.0,Machine-op-inspct,<=50K
44.0,Self-emp-not-inc,HS-grad,,40.0,Prof-specialty,>50K
37.0,Local-gov,Some-college,cat1,40.0,Adm-clerical,<=50K
,Private,Masters,cat1,65.0,Exec-managerial,>50K
32.0,Self-emp-inc,Prof-school,cat1,40.0,Prof-specialty,>50K
,Private,Some-college,cat1,28.0,Other-service,<=50K
45.0,Federal-gov,Some-college,cat1,,Adm-clerical,<=50K
30.0,Private,11th,cat1,40.0,Handlers-cleaners,<=50K
20.0,Private,12th,cat1,10.0,Other-service,<=50K
41.0,Private,HS-grad,cat1,4.0,Craft-repair,<=50K
21.0,Private,HS-grad,cat1,30.0,Sales,<=50K
48.0,Private,7th-8th,cat1,30.0,Other-service,<=50K
31.0,,HS-grad,cat2,45.0,Prof-specialty,>50K
,,Assoc-voc,cat1,40.0,Handlers-cleaners,<=50K
25.0,Private,HS-grad,cat1,40.0,Other-service,<=50K
41.0,Self-emp-not-inc,Bachelors,cat1,35.0,Craft-repair,<=50K
35.0,Self-emp-not-inc,,cat1,50.0,Prof-specialty,>50K
42.0,Private,Bachelors,cat1,40.0,Exec-managerial,<=50K
34.0,Self-emp-not-inc,HS-grad,cat1,75.0,Transport-moving,>50K
44.0,Private,10th,cat2,60.0,Machine-op-inspct,<=50K
32.0,Private,Bachelors,cat1,40.0,Exec-managerial,>50K
25.0,Private,Some-college,cat1,40.0,Sales,<=50K
23.0,Private,11th,cat1,50.0,,<=50K
,Private,Prof-school,cat1,40.0,Prof-specialty,>50K
53.0,Self-emp-not-inc,,cat1,60.0,Sales,>50K
,Private,Doctorate,cat1,52.0,Prof-specialty,<=50K
27.0,Private,Bachelors,cat1,65.0,Adm-clerical,<=50K
57.0,Private,HS-grad,cat1,45.0,Exec-managerial,<=50K
17.0,Private,11th,cat1,20.0,Sales,<=50K
59.0,Local-gov,HS-grad,cat1,38.0,Adm-clerical,<=50K
34.0,Private,HS-grad,cat1,40.0,Other-service,<=50K
30.0,Private,10th,cat1,55.0,Transport-moving,<=50K
31.0,State-gov,Assoc-acdm,cat1,45.0,,<=50K
18.0,?,11th,cat1,40.0,?,<=50K
23.0,Private,Some-college,cat1,30.0,Sales,<=50K
19.0,Private,HS-grad,cat1,40.0,Transport-moving,<=50K
20.0,Self-emp-not-inc,Assoc-voc,cat1,40.0,Farming-fishing,<=50K
52.0,Self-emp-not-inc,HS-grad,,40.0,Sales,<=50K
39.0,Local-gov,Bachelors,cat1,50.0,Prof-specialty,>50K
27.0,Private,HS-grad,cat1,50.0,Other-service,<=50K
19.0,Private,Some-college,cat1,35.0,Sales,<=50K
38.0,Local-gov,Bachelors,cat1,15.0,Prof-specialty,<=50K
19.0,Private,HS-grad,cat1,16.0,Handlers-cleaners,<=50K
34.0,Private,Bachelors,,40.0,Prof-specialty,>50K
41.0,Private,HS-grad,cat1,45.0,,<=50K
23.0,Private,HS-grad,,40.0,Machine-op-inspct,<=50K
24.0,?,Assoc-acdm,cat1,12.0,?,<=50K
24.0,Private,Bachelors,,40.0,Adm-clerical,<=50K
22.0,Private,10th,cat1,84.0,Transport-moving,<=50K
45.0,Private,Prof-school,cat1,60.0,Prof-specialty,>50K
45.0,Private,HS-grad,cat1,60.0,Exec-managerial,>50K
48.0,Private,Bachelors,cat1,40.0,Exec-managerial,>50K
42.0,Private,,,60.0,Sales,<=50K
35.0,Self-emp-not-inc,Some-college,cat1,50.0,Sales,<=50K
32.0,,HS-grad,cat1,,Other-service,<=50K
,Local-gov,HS-grad,cat1,32.0,Exec-managerial,<=50K
59.0,Private,Some-college,cat1,40.0,Exec-managerial,>50K
31.0,Local-gov,HS-grad,cat1,40.0,Transport-moving,<=50K
27.0,Local-gov,Bachelors,cat1,50.0,Tech-support,<=50K
29.0,Private,Bachelors,cat2,80.0,Handlers-cleaners,>50K
,Private,,cat1,35.0,Adm-clerical,<=50K
40.0,Private,HS-grad,cat1,40.0,Other-service,<=50K
31.0,Private,HS-grad,cat1,40.0,Machine-op-inspct,<=50K
23.0,Private,7th-8th,cat1,40.0,Machine-op-inspct,<=50K
42.0,Private,HS-grad,cat1,35.0,Adm-clerical,<=50K
60.0,Private,HS-grad,,40.0,Sales,<=50K
53.0,Local-gov,Masters,,50.0,Exec-managerial,>50K
20.0,?,Some-college,,,?,<=50K
27.0,Private,HS-grad,cat1,40.0,Handlers-cleaners,<=50K
31.0,,HS-grad,cat1,45.0,Transport-moving,<=50K
29.0,,Bachelors,cat1,40.0,Craft-repair,<=50K
22.0,,Bachelors,cat1,40.0,Farming-fishing,<=50K
42.0,Private,Bachelors,cat1,38.0,Prof-specialty,>50K
63.0,Self-emp-inc,Prof-school,cat4,50.0,Prof-specialty,>50K
28.0,,HS-grad,cat1,40.0,Sales,<=50K
79.0,Private,Some-college,,20.0,Adm-clerical,<=50K
39.0,Private,HS-grad,cat2,40.0,Craft-repair,>50K
29.0,,12th,,40.0,Other-service,<=50K
,Private,7th-8th,cat1,,Other-service,<=50K
58.0,Private,12th,cat1,24.0,Other-service,<=50K
20.0,Private,Assoc-acdm,cat1,18.0,Other-service,<=50K
44.0,Private,HS-grad,,65.0,Transport-moving,>50K
47.0,Private,HS-grad,cat1,48.0,Transport-moving,<=50K
59.0,Private,HS-grad,cat1,24.0,Protective-serv,>50K
37.0,Private,Masters,cat1,65.0,Exec-managerial,<=50K
21.0,Private,HS-grad,,40.0,Machine-op-inspct,<=50K
68.0,Private,Assoc-voc,cat1,40.0,Exec-managerial,<=50K
43.0,Private,Some-college,,40.0,Adm-clerical,<=50K
23.0,?,Some-college,cat1,40.0,?,<=50K
23.0,Private,HS-grad,,33.0,Craft-repair,<=50K
40.0,Local-gov,Masters,cat1,35.0,Adm-clerical,<=50K
45.0,Self-emp-not-inc,Some-college,cat1,35.0,Sales,<=50K
34.0,?,Assoc-voc,cat2,60.0,?,>50K
22.0,Private,Some-college,cat1,40.0,Tech-support,<=50K
38.0,Private,Bachelors,cat1,50.0,Prof-specialty,>50K
24.0,Private,Some-college,cat1,49.0,Sales,<=50K
23.0,Private,HS-grad,cat1,40.0,Sales,<=50K
39.0,Federal-gov,Some-college,,45.0,Adm-clerical,>50K
26.0,Private,Some-college,cat1,40.0,Craft-repair,<=50K
24.0,Private,HS-grad,cat1,40.0,,<=50K
22.0,Private,,cat1,25.0,Adm-clerical,<=50K
36.0,Private,Bachelors,,55.0,Prof-specialty,<=50K
20.0,,Some-college,cat1,20.0,Priv-house-serv,<=50K
18.0,Private,11th,cat1,8.0,Other-service,<=50K
38.0,Private,Bachelors,cat1,40.0,Exec-managerial,>50K
43.0,Self-emp-inc,Bachelors,cat1,35.0,Farming-fishing,<=50K
56.0,Private,HS-grad,cat1,40.0,Exec-managerial,<=50K
42.0,Private,Masters,cat1,40.0,Exec-managerial,>50K
35.0,Private,Bachelors,cat1,50.0,Exec-managerial,>50K
31.0,Private,Some-college,cat1,45.0,Adm-clerical,<=50K
73.0,Private,,cat1,20.0,Transport-moving,<=50K
32.0,Private,Some-college,cat1,42.0,Exec-managerial,<=50K
37.0,Private,Masters,cat4,45.0,Exec-managerial,>50K
66.0,Private,HS-grad,cat1,10.0,Handlers-cleaners,<=50K
,Private,HS-grad,,35.0,Other-service,<=50K
51.0,Private,Assoc-voc,,40.0,Sales,<=50K
31.0,Private,HS-grad,,35.0,Other-service,<=50K
,Private,HS-grad,cat1,,Adm-clerical,<=50K
39.0,Private,,,45.0,Craft-repair,<=50K
48.0,Private,Some-college,cat1,,Adm-clerical,<=50K
20.0,Private,Some-college,,40.0,Other-service,<=50K
28.0,,Assoc-acdm,cat1,40.0,?,<=50K
48.0,Private,,cat2,50.0,Sales,>50K
29.0,Federal-gov,Prof-school,cat1,80.0,Prof-specialty,<=50K
36.0,Self-emp-not-inc,Doctorate,,30.0,Prof-specialty,>50K
35.0,Self-emp-inc,Bachelors,cat1,45.0,Exec-managerial,>50K
31.0,Private,Some-college,cat1,40.0,Transport-moving,>50K
48.0,State-gov,HS-grad,cat1,40.0,Protective-serv,<=50K
,Private,Assoc-voc,cat1,45.0,Tech-support,<=50K
40.0,Self-emp-not-inc,HS-grad,cat1,50.0,Farming-fishing,<=50K
57.0,Private,HS-grad,cat1,15.0,Prof-specialty,<=50K
26.0,Local-gov,Bachelors,cat2,,Prof-specialty,<=50K
37.0,State-gov,HS-grad,cat1,40.0,Other-service,<=50K
65.0,Private,Doctorate,cat1,40.0,Exec-managerial,>50K
26.0,,10th,cat1,32.0,Prof-specialty,<=50K
42.0,Private,Some-college,cat1,40.0,Tech-support,<=50K
47.0,Private,Masters,cat1,40.0,Exec-managerial,>50K
62.0,Private,7th-8th,cat1,40.0,Craft-repair,<=50K
27.0,Private,Assoc-voc,cat1,50.0,Exec-managerial,<=50K
76.0,Self-emp-not-inc,Some-college,cat1,8.0,Sales,<=50K
20.0,?,Some-college,cat1,40.0,?,<=50K
29.0,,Bachelors,cat1,,Adm-clerical,<=50K
29.0,Private,12th,cat1,40.0,Transport-moving,>50K
32.0,Private,10th,cat1,40.0,Machine-op-inspct,<=50K
22.0,Self-emp-inc,Some-college,cat1,40.0,Craft-repair,<=50K
30.0,Federal-gov,HS-grad,cat1,,Adm-clerical,<=50K
43.0,Local-gov,Some-college,,40.0,Adm-clerical,<=50K
23.0,Private,Bachelors,cat1,20.0,Other-service,<=50K
44.0,Federal-gov,Prof-school,,40.0,Prof-specialty,>50K
41.0,Private,Bachelors,,40.0,Other-service,<=50K
49.0,State-gov,Masters,cat2,40.0,Prof-specialty,>50K
30.0,Private,HS-grad,cat1,45.0,Transport-moving,>50K
23.0,Private,Some-college,,35.0,Handlers-cleaners,<=50K
39.0,Private,HS-grad,cat1,40.0,Adm-clerical,<=50K
,Private,Bachelors,cat1,60.0,Sales,>50K
50.0,Private,Some-college,,35.0,Craft-repair,>50K
19.0,Private,Some-college,cat1,40.0,Adm-clerical,<=50K
35.0,Private,Bachelors,cat1,52.0,Sales,>50K
23.0,Private,HS-grad,cat1,40.0,Craft-repair,<=50K
25.0,Private,Some-college,cat1,40.0,Craft-repair,<=50K
40.0,Private,HS-grad,,40.0,Sales,<=50K
30.0,Private,Bachelors,cat1,42.0,Exec-managerial,>50K
52.0,Private,Some-college,cat1,40.0,Craft-repair,>50K
49.0,Private,Some-college,,,Machine-op-inspct,<=50K
24.0,Private,Bachelors,cat1,,Adm-clerical,<=50K
46.0,Private,Bachelors,,40.0,Exec-managerial,>50K
39.0,Private,Bachelors,,50.0,Sales,>50K
45.0,Self-emp-not-inc,Bachelors,,50.0,Exec-managerial,>50K
62.0,,Bachelors,,38.0,Adm-clerical,<=50K
43.0,Private,Bachelors,cat1,50.0,Prof-specialty,>50K
45.0,Private,Some-college,cat1,40.0,Machine-op-inspct,<=50K
62.0,Self-emp-not-inc,HS-grad,cat1,40.0,Sales,<=50K
48.0,Private,5th-6th,cat1,40.0,Handlers-cleaners,<=50K
56.0,,HS-grad,cat1,40.0,Other-service,<=50K
28.0,Private,HS-grad,cat1,35.0,Farming-fishing,<=50K
23.0,,HS-grad,cat1,40.0,Craft-repair,<=50K
43.0,Private,HS-grad,,35.0,Other-service,<=50K
26.0,Private,Bachelors,cat1,40.0,Craft-repair,>50K
36.0,Private,HS-grad,cat1,50.0,Sales,>50K
55.0,Local-gov,Doctorate,,60.0,Prof-specialty,<=50K
48.0,State-gov,Bachelors,,50.0,Exec-managerial,<=50K
43.0,Private,5th-6th,cat1,72.0,Machine-op-inspct,<=50K
38.0,Private,Assoc-voc,,45.0,Exec-managerial,>50K
18.0,Private,HS-grad,cat1,30.0,Sales,<=50K
56.0,Self-emp-not-inc,HS-grad,,70.0,Exec-managerial,<=50K
39.0,Self-emp-not-inc,Masters,cat1,40.0,Prof-specialty,<=50K
46.0,Private,5th-6th,cat1,50.0,Handlers-cleaners,<=50K
36.0,Private,,cat1,65.0,Transport-moving,<=50K
42.0,Self-emp-not-inc,HS-grad,cat1,40.0,Craft-repair,<=50K
50.0,Private,HS-grad,cat1,,,>50K
17.0,Private,11th,cat1,20.0,Handlers-cleaners,<=50K
